,Date,P/E,P/B,Div Yield,Nifty,Earnings,Book Value,Dividend,D/E,E/B,50- TPE,Earning growth,DIV GROWTH,,,,,,,,,,,,
645,7/23/2001,15.23,2.38,1.17,1070.65,70.3,449.85,9.15,13.02%,15.63%,15.4,-0.1,-0.13,,,,,,,,,,,,
646,7/24/2001,15.25,2.38,1.17,1072.55,70.33,450.65,9.17,13.03%,15.61%,15.4,-0.09,-0.13,,,,,,,,,,,,
647,7/25/2001,15.13,2.36,1.17,1064.2,70.34,450.93,9.1,12.93%,15.60%,15.4,-0.08,-0.13,,,,,,,,,,,,
648,7/26/2001,14.92,2.33,1.18,1053.4,70.6,452.1,8.93,12.64%,15.62%,15.39,-0.07,-0.12,,,,,,,,,,,,
649,7/27/2001,14.9,2.32,1.15,1051.7,70.58,453.32,9.15,12.96%,15.57%,15.38,-0.05,-0.11,,,,,,,,,,,,
650,7/30/2001,15.04,2.35,1.18,1061.45,70.58,451.68,9,12.75%,15.63%,15.37,-0.03,-0.1,,,,,,,,,,,,
651,7/31/2001,15.15,2.37,1.17,1072.85,70.82,452.68,9.17,12.95%,15.64%,15.37,-0.02,-0.1,,,,,,,,,,,,
652,8/1/2001,15.01,2.35,1.18,1063.15,70.83,452.4,9.01,12.72%,15.66%,15.35,-0.01,-0.09,,,,,,,,,,,,
653,8/2/2001,15.05,2.36,1.2,1066,70.83,451.69,8.88,12.54%,15.68%,15.35,0,-0.09,,,,,,,,,,,,
654,8/3/2001,15.18,2.38,1.19,1074.6,70.79,451.51,9.03,12.76%,15.68%,15.35,0.01,-0.09,,,,,,,,,,,,
655,8/6/2001,15.18,2.37,1.21,1075.25,70.83,453.69,8.89,12.55%,15.61%,15.35,0.02,-0.08,,,,,,,,,,,,
656,8/7/2001,15.13,2.37,1.22,1072.1,70.86,452.36,8.79,12.40%,15.66%,15.33,0.02,-0.08,,,,,,,,,,,,
657,8/8/2001,15.08,2.36,1.23,1068,70.82,452.54,8.68,12.26%,15.65%,15.32,0.02,-0.08,,,,,,,,,,,,
658,8/9/2001,15.12,2.37,1.23,1070.65,70.81,451.75,8.7,12.29%,15.67%,15.31,0.02,-0.08,,,,,,,,,,,,
659,8/10/2001,15.31,2.4,1.2,1071.15,69.96,446.31,8.93,12.76%,15.68%,15.31,0.02,-0.07,,,,,,,,,,,,
660,8/13/2001,15.19,2.38,1.21,1063,69.98,446.64,8.79,12.55%,15.67%,15.3,0.01,-0.07,,,,,,,,,,,,
661,8/14/2001,15.37,2.41,1.19,1075.5,69.97,446.27,9.04,12.92%,15.68%,15.29,0.01,-0.06,,,,,,,,,,,,
662,8/16/2001,15.42,2.42,1.19,1078.95,69.97,445.85,9.07,12.96%,15.69%,15.29,0.01,-0.05,,,,,,,,,,,,
663,8/17/2001,15.37,2.41,1.19,1069.2,69.56,443.65,8.98,12.92%,15.68%,15.28,0,-0.04,,,,,,,,,,,,
664,8/20/2001,15.21,2.38,1.2,1063.75,69.94,446.95,8.86,12.68%,15.65%,15.26,0,-0.04,,,,,,,,,,,,
665,8/21/2001,15.28,2.39,1.32,1068.7,69.94,447.15,8.1,11.58%,15.64%,15.27,0,-0.04,,,,,,,,,,,,
666,8/23/2001,15.62,2.4,1.32,1071.5,68.6,446.46,8.12,11.83%,15.36%,15.28,-0.01,-0.04,,,,,,,,,,,,
667,8/24/2001,15.28,2.39,1.34,1069.15,69.97,447.34,7.98,11.40%,15.64%,15.28,-0.02,-0.04,,,,,,,,,,,,
668,8/27/2001,15.37,2.41,1.33,1072.55,69.78,445.04,8.06,11.56%,15.68%,15.29,-0.02,-0.04,,,,,,,,,,,,
669,8/28/2001,15.35,2.4,1.34,1070.65,69.75,446.1,7.99,11.46%,15.64%,15.29,-0.02,-0.05,,,,,,,,,,,,
670,8/29/2001,15.3,2.39,1.37,1067.45,69.77,446.63,7.79,11.17%,15.62%,15.3,-0.02,-0.05,,,,,,,,,,,,
671,8/30/2001,15.25,2.39,1.37,1064.15,69.78,445.25,7.77,11.13%,15.67%,15.29,-0.03,-0.06,,,,,,,,,,,,
672,8/31/2001,15.1,2.36,1.35,1053.75,69.78,446.5,7.81,11.19%,15.63%,15.27,-0.03,-0.06,,,,,,,,,,,,
673,9/3/2001,15.02,2.35,1.38,1048.05,69.78,445.98,7.59,10.88%,15.65%,15.25,-0.03,-0.06,,,,,,,,,,,,
674,9/4/2001,15.02,2.35,1.38,1048.2,69.79,446.04,7.6,10.88%,15.65%,15.23,-0.03,-0.06,,,,,,,,,,,,
675,9/5/2001,14.98,2.34,1.42,1045,69.76,446.58,7.36,10.55%,15.62%,15.21,-0.03,-0.06,,,,,,,,,,,,
676,9/6/2001,14.85,2.32,1.54,1036.1,69.77,446.59,6.73,9.64%,15.62%,15.19,-0.03,-0.06,,,,,,,,,,,,
677,9/7/2001,14.84,2.32,1.45,1035.2,69.76,446.21,7.14,10.23%,15.63%,15.17,-0.04,-0.06,,,,,,,,,,,,
678,9/10/2001,14.81,2.32,1.45,1033.4,69.78,445.43,7.13,10.21%,15.67%,15.16,-0.04,-0.07,,,,,,,,,,,,
679,9/11/2001,14.67,2.3,1.47,1023.4,69.76,444.96,6.96,9.98%,15.68%,15.14,-0.04,-0.07,,,,,,,,,,,,
680,9/12/2001,14.14,2.21,1.52,982.2,69.46,444.43,6.46,9.30%,15.63%,15.11,-0.04,-0.07,,,,,,,,,,,,
681,9/13/2001,13.99,2.18,1.54,971.7,69.46,445.73,6.31,9.08%,15.58%,15.07,-0.04,-0.08,,,,,,,,,,,,
682,9/14/2001,13.24,2.07,1.62,919.7,69.46,444.3,5.68,8.17%,15.63%,15.02,-0.04,-0.09,,,,,,,,,,,,
683,9/17/2001,12.56,1.97,1.71,872.25,69.45,442.77,5.1,7.35%,15.68%,14.96,-0.04,-0.1,,,,,,,,,,,,
684,9/18/2001,12.96,2.03,1.66,900.2,69.46,443.45,5.42,7.81%,15.66%,14.89,-0.04,-0.11,,,,,,,,,,,,
685,9/19/2001,13.13,2.06,1.65,912.2,69.47,442.82,5.53,7.96%,15.69%,14.83,-0.04,-0.11,,,,,,,,,,,,
686,9/20/2001,12.94,2.03,1.67,898.8,69.46,442.76,5.38,7.75%,15.69%,14.77,-0.04,-0.12,,,,,,,,,,,,
687,9/21/2001,12.3,1.92,1.75,854.2,69.45,444.9,4.88,7.03%,15.61%,14.69,-0.03,-0.12,,,,,,,,,,,,
688,9/24/2001,12.51,1.96,1.72,869.05,69.47,443.39,5.05,7.27%,15.67%,14.61,-0.03,-0.13,,,,,,,,,,,,
689,9/25/2001,12.4,1.94,1.74,861.4,69.47,444.02,4.95,7.13%,15.65%,14.53,-0.03,-0.13,,,,,,,,,,,,
690,9/26/2001,12.58,1.97,1.72,873.7,69.45,443.5,5.08,7.31%,15.66%,14.46,-0.02,-0.14,,,,,,,,,,,,
691,9/27/2001,12.81,2.01,1.68,890,69.48,442.79,5.3,7.63%,15.69%,14.39,-0.02,-0.14,,,,,,,,,,,,
692,9/28/2001,13.16,2.06,1.64,913.85,69.44,443.62,5.57,8.02%,15.65%,14.33,-0.01,-0.14,,,,,,,,,,,,
693,10/1/2001,13.1,2.05,1.65,910.1,69.47,443.95,5.52,7.94%,15.65%,14.27,-0.01,-0.13,,,,,,,,,,,,
694,10/3/2001,12.95,2.03,1.69,899.65,69.47,443.18,5.32,7.66%,15.68%,14.2,-0.01,-0.13,,,,,,,,,,,,
695,10/4/2001,13.13,2.05,1.64,911.65,69.43,444.71,5.56,8.01%,15.61%,14.14,-0.01,-0.13,,,,,,,,,,,,
696,10/5/2001,13.17,2.06,1.64,914.6,69.45,443.98,5.58,8.03%,15.64%,14.07,-0.01,-0.12,,,,,,,,,,,,
697,10/8/2001,12.98,2.03,1.67,901.95,69.49,444.31,5.4,7.77%,15.64%,14,-0.01,-0.11,,,,,,,,,,,,
698,10/9/2001,13.14,2.06,1.65,912.7,69.46,443.06,5.53,7.96%,15.68%,13.94,-0.01,-0.11,,,,,,,,,,,,
699,10/10/2001,13.54,2.12,1.6,940.35,69.45,443.56,5.88,8.46%,15.66%,13.89,-0.01,-0.1,,,,,,,,,,,,
700,10/11/2001,13.75,2.15,1.58,954.9,69.45,444.14,6.04,8.70%,15.64%,13.83,-0.01,-0.09,,,,,,,,,,,,
701,10/12/2001,13.83,2.16,1.57,960.4,69.44,444.63,6.12,8.81%,15.62%,13.79,-0.01,-0.08,,,,,,,,,,,,
702,10/15/2001,13.87,2.17,1.57,963.4,69.46,443.96,6.14,8.83%,15.65%,13.75,-0.01,-0.07,,,,,,,,,,,,
703,10/16/2001,13.98,2.19,1.55,971.25,69.47,443.49,6.27,9.02%,15.67%,13.71,-0.01,-0.06,,,,,,,,,,,,
704,10/17/2001,14.2,2.22,1.53,986.25,69.45,444.26,6.45,9.28%,15.63%,13.67,-0.01,-0.05,,,,,,,,,,,,
705,10/18/2001,13.99,2.19,1.55,972.05,69.48,443.86,6.27,9.03%,15.65%,13.64,-0.01,-0.04,,,,,,,,,,,,
706,10/19/2001,13.99,2.19,1.55,976.65,69.81,445.96,6.3,9.03%,15.65%,13.6,-0.01,-0.03,,,,,,,,,,,,
707,10/22/2001,14.15,2.2,1.56,976.4,69,443.82,6.26,9.07%,15.55%,13.58,-0.01,-0.02,,,,,,,,,,,,
708,10/23/2001,14.4,2.24,1.54,993.2,68.97,443.39,6.45,9.35%,15.56%,13.56,-0.01,-0.01,,,,,,,,,,,,
709,10/24/2001,14.38,2.23,1.54,991.2,68.93,444.48,6.44,9.34%,15.51%,13.54,-0.01,0,,,,,,,,,,,,
710,10/25/2001,14.26,2.22,1.59,983.2,68.95,442.88,6.18,8.97%,15.57%,13.53,-0.01,0.01,,,,,,,,,,,,
711,10/29/2001,14.18,2.2,1.59,977.45,68.93,444.3,6.15,8.92%,15.51%,13.51,-0.01,0.01,,,,,,,,,,,,
712,10/30/2001,13.99,2.17,1.62,963.1,68.84,443.82,5.95,8.64%,15.51%,13.48,-0.01,0.02,,,,,,,,,,,,
713,10/31/2001,13.79,2.19,1.61,971.9,70.48,443.79,6.04,8.57%,15.88%,13.46,-0.01,0.03,,,,,,,,,,,,
714,11/1/2001,14.11,2.24,1.57,994,70.45,443.75,6.33,8.99%,15.88%,13.45,0,0.04,,,,,,,,,,,,
715,11/2/2001,14.16,2.25,1.56,997.6,70.45,443.38,6.39,9.08%,15.89%,13.46,0,0.04,,,,,,,,,,,,
716,11/5/2001,14.06,2.24,1.57,991.05,70.49,442.43,6.31,8.96%,15.93%,13.48,0.01,0.04,,,,,,,,,,,,
717,11/6/2001,14.22,2.26,1.56,1001.9,70.46,443.32,6.42,9.12%,15.89%,13.53,0.01,0.04,,,,,,,,,,,,
718,11/7/2001,14.01,2.23,1.58,987.5,70.49,442.83,6.25,8.87%,15.92%,13.56,0.02,0.04,,,,,,,,,,,,
719,11/8/2001,14.16,2.25,1.56,997.7,70.46,443.42,6.4,9.08%,15.89%,13.59,0.02,0.04,,,,,,,,,,,,
720,11/9/2001,14.55,2.38,1.6,1004.05,69.01,421.87,6.28,9.09%,16.36%,13.64,0.02,0.04,,,,,,,,,,,,
721,11/12/2001,14.65,2.4,1.59,1010.9,69,421.21,6.36,9.21%,16.38%,13.71,0.02,0.04,,,,,,,,,,,,
722,11/13/2001,14.57,2.38,1.6,1005.4,69,422.44,6.28,9.11%,16.33%,13.77,0.01,0.04,,,,,,,,,,,,
723,11/14/2001,14.72,2.41,1.58,1015.8,69.01,421.49,6.43,9.32%,16.37%,13.84,0.01,0.03,,,,,,,,,,,,
724,11/15/2001,15.01,2.46,1.55,1035.7,69,421.02,6.68,9.68%,16.39%,13.91,0.01,0.03,,,,,,,,,,,,
725,11/19/2001,15.48,2.53,1.5,1068.15,69,422.19,7.12,10.32%,16.34%,13.99,0,0.03,,,,,,,,,,,,
726,11/20/2001,15.22,2.49,1.53,1050.2,69,421.77,6.86,9.95%,16.36%,14.05,0,0.03,,,,,,,,,,,,
727,11/21/2001,15.31,2.51,1.52,1056.35,69,420.86,6.95,10.07%,16.39%,14.11,0,0.03,,,,,,,,,,,,
728,11/22/2001,15.4,2.52,1.51,1062.45,68.99,421.61,7.04,10.20%,16.36%,14.19,0,0.03,,,,,,,,,,,,
729,11/23/2001,15.35,2.51,1.52,1059,68.99,421.91,6.97,10.10%,16.35%,14.25,-0.01,0.03,,,,,,,,,,,,
730,11/26/2001,15.66,2.56,1.49,1080.6,69,422.11,7.25,10.51%,16.35%,14.33,-0.01,0.03,,,,,,,,,,,,
731,11/27/2001,15.59,2.55,1.49,1076.05,69.02,421.98,7.22,10.46%,16.36%,14.4,-0.01,0.03,,,,,,,,,,,,
732,11/28/2001,15.52,2.54,1.5,1070.8,68.99,421.57,7.14,10.35%,16.37%,14.47,-0.01,0.03,,,,,,,,,,,,
733,11/29/2001,15.46,2.53,1.5,1067.15,69.03,421.8,7.11,10.31%,16.36%,14.53,-0.02,0.03,,,,,,,,,,,,
734,12/3/2001,15.44,2.53,1.51,1065.4,69,421.11,7.06,10.23%,16.39%,14.58,-0.02,0.03,,,,,,,,,,,,
735,12/4/2001,15.62,2.56,1.49,1077.7,68.99,420.98,7.23,10.48%,16.39%,14.63,-0.02,0.03,,,,,,,,,,,,
736,12/5/2001,16.01,2.62,1.45,1104.55,68.99,421.58,7.62,11.04%,16.36%,14.69,-0.02,0.04,,,,,,,,,,,,
737,12/6/2001,16.09,2.63,1.45,1110.45,69.01,422.22,7.66,11.10%,16.35%,14.76,-0.02,0.04,,,,,,,,,,,,
738,12/7/2001,16.12,2.64,1.44,1112.3,69,421.33,7.72,11.19%,16.38%,14.81,-0.02,0.04,,,,,,,,,,,,
739,12/10/2001,16.16,2.65,1.44,1115.25,69.01,420.85,7.74,11.22%,16.40%,14.88,-0.02,0.05,,,,,,,,,,,,
740,12/11/2001,16.09,2.63,1.45,1110.2,69,422.13,7.66,11.10%,16.35%,14.94,-0.02,0.05,,,,,,,,,,,,
741,12/12/2001,16.05,2.63,1.45,1107.65,69.01,421.16,7.64,11.07%,16.39%,14.99,-0.02,0.05,,,,,,,,,,,,
742,12/13/2001,15.92,2.61,1.46,1098.75,69.02,420.98,7.53,10.90%,16.39%,15.04,-0.03,0.05,,,,,,,,,,,,
743,12/14/2001,15.76,2.58,1.48,1087.85,69.03,421.65,7.35,10.65%,16.37%,15.08,-0.03,0.05,,,,,,,,,,,,
744,12/18/2001,15.68,2.57,1.48,1082.3,69.02,421.13,7.31,10.59%,16.39%,15.12,-0.03,0.05,,,,,,,,,,,,
745,12/19/2001,15.37,2.52,1.51,1060.75,69.01,420.93,7.02,10.18%,16.40%,15.16,-0.04,0.05,,,,,,,,,,,,
746,12/20/2001,15.39,2.52,1.51,1062,69.01,421.43,7.03,10.19%,16.37%,15.2,-0.04,0.04,,,,,,,,,,,,
747,12/21/2001,15.23,2.49,1.53,1050.85,69,422.03,6.87,9.95%,16.35%,15.24,-0.04,0.04,,,,,,,,,,,,
748,12/24/2001,15.19,2.49,1.53,1048.5,69.03,421.08,6.85,9.93%,16.39%,15.27,-0.03,0.04,,,,,,,,,,,,
749,12/26/2001,14.99,2.45,1.55,1034.25,69,422.14,6.67,9.67%,16.34%,15.3,-0.03,0.03,,,,,,,,,,,,
750,12/27/2001,14.78,2.42,1.57,1020,69.01,421.49,6.5,9.41%,16.37%,15.32,-0.02,0.02,,,,,,,,,,,,
751,12/28/2001,14.98,2.45,1.55,1033.8,69.01,421.96,6.67,9.66%,16.36%,15.34,-0.01,0.02,,,,,,,,,,,,
752,12/31/2001,15.35,2.51,1.52,1059.05,68.99,421.93,6.97,10.10%,16.35%,15.38,-0.01,0.01,,,,,,,,,,,,
753,1/1/2002,15.29,2.5,1.52,1055.3,69.02,422.12,6.94,10.06%,16.35%,15.41,0,0.01,,,,,,,,,,,,
754,1/2/2002,15.37,2.52,1.51,1060.75,69.01,420.93,7.02,10.18%,16.40%,15.44,0,0.01,,,,,,,,,,,,
755,1/3/2002,15.54,2.54,1.5,1072.25,69,422.15,7.15,10.36%,16.34%,15.46,0,0,,,,,,,,,,,,
756,1/4/2002,15.89,2.6,1.46,1096.2,68.99,421.62,7.51,10.88%,16.36%,15.5,0,0,,,,,,,,,,,,
757,1/7/2002,15.94,2.61,1.46,1100.15,69.02,421.51,7.54,10.92%,16.37%,15.54,0,0,,,,,,,,,,,,
758,1/8/2002,16.09,2.63,1.45,1109.9,68.98,422.02,7.65,11.10%,16.35%,15.57,0,0,,,,,,,,,,,,
759,1/9/2002,15.98,2.62,1.46,1102.8,69.01,420.92,7.55,10.95%,16.40%,15.58,0,0,,,,,,,,,,,,
760,1/10/2002,15.91,2.6,1.46,1098.2,69.03,422.38,7.52,10.90%,16.34%,15.6,0,0,,,,,,,,,,,,
761,1/11/2002,15.78,2.58,1.47,1088.55,68.98,421.92,7.41,10.73%,16.35%,15.62,0,0,,,,,,,,,,,,
762,1/14/2002,16.08,2.63,1.45,1109.8,69.02,421.98,7.65,11.09%,16.36%,15.64,0,0,,,,,,,,,,,,
763,1/15/2002,15.61,2.39,1.94,1094.15,70.09,457.8,5.64,8.05%,15.31%,15.65,0.01,-0.01,,,,,,,,,,,,
764,1/16/2002,15.56,2.39,1.94,1090.3,70.07,456.19,5.62,8.02%,15.36%,15.64,0.01,-0.02,,,,,,,,,,,,
765,1/17/2002,17.57,2.76,1.67,1109.2,63.13,401.88,6.64,10.52%,15.71%,15.7,-0.02,-0.02,,,,,,,,,,,,
766,1/18/2002,17.32,2.72,1.69,1093.15,63.11,401.89,6.47,10.25%,15.70%,15.75,-0.05,-0.02,,,,,,,,,,,,
767,1/21/2002,17.29,2.72,1.69,1091.35,63.12,401.23,6.46,10.23%,15.73%,15.81,-0.08,-0.03,,,,,,,,,,,,
768,1/22/2002,17.31,2.72,1.69,1092.85,63.13,401.78,6.47,10.24%,15.71%,15.86,-0.1,-0.03,,,,,,,,,,,,
769,1/23/2002,17.26,2.71,1.7,1089.4,63.12,401.99,6.41,10.15%,15.70%,15.91,-0.12,-0.03,,,,,,,,,,,,
770,1/24/2002,17.19,2.7,1.7,1085.3,63.14,401.96,6.38,10.11%,15.71%,15.95,-0.14,-0.03,,,,,,,,,,,,
771,1/25/2002,17.06,2.68,1.71,1080.1,63.31,403.02,6.32,9.98%,15.71%,15.97,-0.16,-0.03,,,,,,,,,,,,
772,1/28/2002,16.93,2.66,1.73,1071.35,63.28,402.76,6.19,9.79%,15.71%,16,-0.18,-0.03,,,,,,,,,,,,
773,1/29/2002,16.93,2.66,1.72,1071.65,63.3,402.88,6.23,9.84%,15.71%,16.02,-0.2,-0.03,,,,,,,,,,,,
774,1/30/2002,16.87,2.65,1.73,1067.45,63.28,402.81,6.17,9.75%,15.71%,16.04,-0.21,-0.03,,,,,,,,,,,,
775,1/31/2002,16.99,2.67,1.72,1075.4,63.3,402.77,6.25,9.88%,15.72%,16.07,-0.22,-0.03,,,,,,,,,,,,
776,2/1/2002,17.09,2.68,1.71,1081.65,63.29,403.6,6.33,9.99%,15.68%,16.11,-0.23,-0.03,,,,,,,,,,,,
777,2/4/2002,17.01,2.67,1.72,1076.9,63.31,403.33,6.26,9.89%,15.70%,16.14,-0.24,-0.03,,,,,,,,,,,,
778,2/5/2002,16.97,2.66,1.72,1074.25,63.3,403.85,6.25,9.87%,15.67%,16.18,-0.24,-0.03,,,,,,,,,,,,
779,2/6/2002,17.59,2.76,1.66,1113.1,63.28,403.3,6.71,10.60%,15.69%,16.25,-0.25,-0.03,,,,,,,,,,,,
780,2/7/2002,17.54,2.75,1.66,1110.45,63.31,403.8,6.69,10.57%,15.68%,16.31,-0.25,-0.03,,,,,,,,,,,,
781,2/8/2002,17.75,2.79,1.64,1123.75,63.31,402.78,6.85,10.82%,15.72%,16.38,-0.25,-0.02,,,,,,,,,,,,
782,2/11/2002,17.88,2.81,1.63,1131.55,63.29,402.69,6.94,10.97%,15.72%,16.46,-0.25,-0.02,,,,,,,,,,,,
783,2/12/2002,17.85,2.8,1.64,1129.5,63.28,403.39,6.89,10.88%,15.69%,16.55,-0.25,-0.02,,,,,,,,,,,,
784,2/13/2002,17.93,2.81,1.63,1135.1,63.31,403.95,6.96,11.00%,15.67%,16.64,-0.25,-0.02,,,,,,,,,,,,
785,2/14/2002,18.17,2.85,1.61,1150,63.29,403.51,7.14,11.29%,15.69%,16.73,-0.24,-0.02,,,,,,,,,,,,
786,2/15/2002,18.33,2.88,1.59,1159.95,63.28,402.76,7.3,11.53%,15.71%,16.82,-0.23,-0.02,,,,,,,,,,,,
787,2/18/2002,18.88,3.02,1.28,1172.85,62.12,388.36,9.16,14.75%,16.00%,16.93,-0.23,0,,,,,,,,,,,,
788,2/19/2002,18.66,2.99,1.29,1158.9,62.11,387.59,8.98,14.47%,16.02%,17.02,-0.22,0.01,,,,,,,,,,,,
789,2/20/2002,18.44,2.95,1.31,1145.95,62.14,388.46,8.75,14.08%,16.00%,17.11,-0.22,0.02,,,,,,,,,,,,
790,2/21/2002,18.5,2.96,1.3,1149.85,62.15,388.46,8.85,14.23%,16.00%,17.18,-0.21,0.03,,,,,,,,,,,,
791,2/22/2002,18.72,3,1.29,1163.5,62.15,387.83,9.02,14.51%,16.03%,17.27,-0.2,0.05,,,,,,,,,,,,
792,2/25/2002,18.76,3,1.3,1165.45,62.12,388.48,8.97,14.43%,15.99%,17.34,-0.18,0.06,,,,,,,,,,,,
793,2/26/2002,19.14,3.07,1.27,1189.4,62.14,387.43,9.37,15.07%,16.04%,17.44,-0.17,0.07,,,,,,,,,,,,
794,2/27/2002,19.14,3.07,1.27,1189.2,62.13,387.36,9.36,15.07%,16.04%,17.53,-0.15,0.09,,,,,,,,,,,,
795,2/28/2002,18.38,2.94,1.33,1142.05,62.14,388.45,8.59,13.82%,16.00%,17.61,-0.13,0.1,,,,,,,,,,,,
796,3/1/2002,18.96,3.04,1.29,1178,62.13,387.5,9.13,14.70%,16.03%,17.69,-0.11,0.11,,,,,,,,,,,,
797,3/4/2002,18.97,3.03,1.29,1177.35,62.06,388.56,9.13,14.71%,15.97%,17.79,-0.08,0.11,,,,,,,,,,,,
798,3/5/2002,18.99,3.03,1.28,1178.5,62.06,388.94,9.21,14.84%,15.96%,17.89,-0.04,0.11,,,,,,,,,,,,
799,3/6/2002,18.79,3.02,1.29,1172.6,62.41,388.28,9.09,14.57%,16.07%,17.93,-0.04,0.11,,,,,,,,,,,,
800,3/7/2002,19.11,3.07,1.27,1193.05,62.43,388.62,9.39,15.05%,16.06%,17.98,-0.04,0.12,,,,,,,,,,,,
801,3/8/2002,19.03,3.06,1.27,1187.65,62.41,388.12,9.35,14.98%,16.08%,18.03,-0.04,0.12,,,,,,,,,,,,
802,3/11/2002,18.71,3.01,1.3,1167.85,62.42,387.99,8.98,14.39%,16.09%,18.07,-0.04,0.12,,,,,,,,,,,,
803,3/12/2002,18.43,2.96,1.32,1150.45,62.42,388.67,8.72,13.96%,16.06%,18.11,-0.04,0.12,,,,,,,,,,,,
804,3/13/2002,18.54,2.98,1.31,1157.05,62.41,388.27,8.83,14.15%,16.07%,18.15,-0.04,0.12,,,,,,,,,,,,
805,3/14/2002,18.58,2.99,1.31,1159.45,62.4,387.78,8.85,14.18%,16.09%,18.19,-0.04,0.11,,,,,,,,,,,,
806,3/15/2002,18.74,3.01,1.29,1169.75,62.42,388.62,9.07,14.53%,16.06%,18.25,-0.04,0.11,,,,,,,,,,,,
807,3/18/2002,18.73,3.01,1.29,1169.3,62.43,388.47,9.06,14.52%,16.07%,18.3,-0.04,0.1,,,,,,,,,,,,
808,3/19/2002,18.46,2.97,1.31,1152.15,62.41,387.93,8.8,14.09%,16.09%,18.35,-0.04,0.1,,,,,,,,,,,,
809,3/20/2002,18.51,2.98,1.31,1155.6,62.43,387.79,8.82,14.13%,16.10%,18.39,-0.03,0.09,,,,,,,,,,,,
810,3/21/2002,18.33,2.95,1.32,1144.2,62.42,387.86,8.67,13.89%,16.09%,18.43,-0.03,0.08,,,,,,,,,,,,
811,3/22/2002,18.24,2.93,1.33,1138.45,62.42,388.55,8.56,13.71%,16.06%,18.46,-0.03,0.07,,,,,,,,,,,,
812,3/26/2002,17.99,2.89,1.35,1123.05,62.43,388.6,8.32,13.33%,16.06%,18.49,-0.02,0.06,,,,,,,,,,,,
813,3/27/2002,18,2.89,1.35,1123.35,62.41,388.7,8.32,13.33%,16.06%,18.51,-0.02,0.05,,,,,,,,,,,,
814,3/28/2002,18.1,2.91,1.34,1129.55,62.41,388.16,8.43,13.51%,16.08%,18.52,-0.02,0.04,,,,,,,,,,,,
815,4/1/2002,18.25,2.93,1.33,1138.95,62.41,388.72,8.56,13.72%,16.05%,18.54,-0.01,0.03,,,,,,,,,,,,
816,4/2/2002,18.22,2.93,1.33,1136.95,62.4,388.04,8.55,13.70%,16.08%,18.55,-0.01,0.02,,,,,,,,,,,,
817,4/3/2002,18,2.89,1.35,1123.5,62.42,388.75,8.32,13.33%,16.06%,18.55,0,0.01,,,,,,,,,,,,
818,4/4/2002,18.36,2.95,1.33,1145.9,62.41,388.44,8.62,13.80%,16.07%,18.56,0,0,,,,,,,,,,,,
819,4/5/2002,18.3,2.94,1.21,1141.95,62.4,388.42,9.44,15.12%,16.07%,18.57,0.01,-0.01,,,,,,,,,,,,
820,4/8/2002,17.91,2.9,1.38,1135.25,63.39,391.47,8.23,12.98%,16.19%,18.56,0.02,-0.02,,,,,,,,,,,,
821,4/9/2002,17.78,2.88,1.39,1126.7,63.37,391.22,8.11,12.79%,16.20%,18.52,0.02,-0.02,,,,,,,,,,,,
822,4/10/2002,18.01,2.91,1.37,1138.5,63.21,391.24,8.31,13.15%,16.16%,18.5,0.02,-0.02,,,,,,,,,,,,
823,4/11/2002,18.09,2.93,1.36,1143.6,63.22,390.31,8.41,13.30%,16.20%,18.49,0.03,-0.03,,,,,,,,,,,,
824,4/12/2002,18.14,2.93,1.36,1146.5,63.2,391.3,8.43,13.34%,16.15%,18.48,0.03,-0.03,,,,,,,,,,,,
825,4/15/2002,17.94,2.9,1.37,1134.15,63.22,391.09,8.28,13.09%,16.16%,18.46,0.03,-0.03,,,,,,,,,,,,
826,4/16/2002,17.7,2.86,1.39,1118.75,63.21,391.17,8.05,12.73%,16.16%,18.43,0.03,-0.03,,,,,,,,,,,,
827,4/17/2002,17.8,2.88,1.38,1125.1,63.21,390.66,8.15,12.90%,16.18%,18.39,0.03,-0.03,,,,,,,,,,,,
828,4/18/2002,18.49,2.94,1.38,1129,61.06,384.01,8.18,13.40%,15.90%,18.37,0.02,-0.03,,,,,,,,,,,,
829,4/19/2002,18.02,2.86,1.42,1100.3,61.06,384.72,7.75,12.69%,15.87%,18.36,0.01,-0.04,,,,,,,,,,,,
830,4/22/2002,18.02,2.87,1.41,1104.15,61.27,384.72,7.83,12.78%,15.93%,18.33,0.01,-0.04,,,,,,,,,,,,
831,4/23/2002,18.05,2.88,1.41,1106,61.27,384.03,7.84,12.80%,15.96%,18.3,0,-0.04,,,,,,,,,,,,
832,4/24/2002,18.16,2.86,1.4,1110.6,61.16,388.32,7.93,12.97%,15.75%,18.28,-0.01,-0.04,,,,,,,,,,,,
833,4/25/2002,17.85,2.82,1.42,1094.3,61.31,388.05,7.71,12.57%,15.80%,18.25,-0.02,-0.04,,,,,,,,,,,,
834,4/26/2002,17.9,2.83,1.41,1097.4,61.31,387.77,7.78,12.70%,15.81%,18.22,-0.02,-0.04,,,,,,,,,,,,
835,4/29/2002,17.69,2.8,1.44,1074.2,60.72,383.64,7.46,12.28%,15.83%,18.18,-0.03,-0.04,,,,,,,,,,,,
836,4/30/2002,17.86,2.83,1.42,1084.5,60.72,383.22,7.64,12.58%,15.85%,18.15,-0.04,-0.04,,,,,,,,,,,,
